name,year,High income,Low income,Lower-middle income,Not classified by income,Upper-middle income,High income (value),Low income (value),Lower-middle income (value),Not classified by income (value),Upper-middle income (value),source
Netherlands,2003,0.11,1.05,1.16,1.23,0.5,0.11,1.05,1.16,1.23,0.5,OECD DAC Creditor Reporting System (CRS)
Netherlands,2004,0.0,1.22,1.13,1.14,0.68,0.0,1.22,1.13,1.14,0.68,OECD DAC Creditor Reporting System (CRS)
Netherlands,2005,0.01,1.24,1.79,1.41,0.64,0.01,1.24,1.79,1.41,0.64,OECD DAC Creditor Reporting System (CRS)
Netherlands,2006,0.01,1.02,1.38,2.54,0.46,0.01,1.02,1.38,2.54,0.46,OECD DAC Creditor Reporting System (CRS)
Netherlands,2007,0.01,1.39,1.64,2.6,0.53,0.01,1.39,1.64,2.6,0.53,OECD DAC Creditor Reporting System (CRS)
Netherlands,2008,0.02,1.55,1.51,3.24,0.58,0.02,1.55,1.51,3.24,0.58,OECD DAC Creditor Reporting System (CRS)
Netherlands,2009,0.01,1.26,1.3,3.21,0.53,0.01,1.26,1.3,3.21,0.53,OECD DAC Creditor Reporting System (CRS)
Netherlands,2010,0.01,1.5,1.06,3.25,0.42,0.01,1.5,1.06,3.25,0.42,OECD DAC Creditor Reporting System (CRS)
Netherlands,2011,0.01,1.07,1.29,3.34,0.53,0.01,1.07,1.29,3.34,0.53,OECD DAC Creditor Reporting System (CRS)
Netherlands,2012,0.01,0.91,0.91,3.2,0.38,0.01,0.91,0.91,3.2,0.38,OECD DAC Creditor Reporting System (CRS)
Netherlands,2013,0.0,1.1,0.93,3.04,0.36,0.0,1.1,0.93,3.04,0.36,OECD DAC Creditor Reporting System (CRS)
Netherlands,2014,0.0,0.92,0.73,3.56,0.32,0.0,0.92,0.73,3.56,0.32,OECD DAC Creditor Reporting System (CRS)
Netherlands,2015,0.0,0.86,0.82,3.68,0.33,0.0,0.86,0.82,3.68,0.33,OECD DAC Creditor Reporting System (CRS)
Netherlands,2016,0.0,0.94,0.96,2.6,0.44,0.0,0.94,0.96,2.6,0.44,OECD DAC Creditor Reporting System (CRS)
Netherlands,2017,0.0,0.89,0.66,3.03,0.33,0.0,0.89,0.66,3.03,0.33,OECD DAC Creditor Reporting System (CRS)
Netherlands,2018,0.0,1.1,0.94,3.2,0.36,0.0,1.1,0.94,3.2,0.36,OECD DAC Creditor Reporting System (CRS)
Netherlands,2019,0.0,1.02,0.88,2.9099999999999997,0.28,0.0,1.02,0.88,2.91,0.28,OECD DAC Creditor Reporting System (CRS)
Netherlands,2020,0.0,0.93,0.78,3.16,0.33,0.0,0.93,0.78,3.16,0.33,OECD DAC Creditor Reporting System (CRS)
Netherlands,2021,0.0,0.77,0.68,3.31,0.31,0.0,0.77,0.68,3.31,0.31,OECD DAC Creditor Reporting System (CRS)
New Zealand,2000,0.0,0.01,0.05,0.04,0.01,0.0,0.01,0.05,0.04,0.01,OECD DAC Creditor Reporting System (CRS)
New Zealand,2001,0.0,0.01,0.05,0.04,0.01,0.0,0.01,0.05,0.04,0.01,OECD DAC Creditor Reporting System (CRS)
New Zealand,2002,0.0,0.01,0.05,0.04,0.02,0.0,0.01,0.05,0.04,0.02,OECD DAC Creditor Reporting System (CRS)
New Zealand,2003,0.0,0.01,0.06,0.05,0.03,0.0,0.01,0.06,0.05,0.03,OECD DAC Creditor Reporting System (CRS)
New Zealand,2004,0.0,0.03,0.08,0.06,0.02,0.0,0.03,0.08,0.06,0.02,OECD DAC Creditor Reporting System (CRS)
New Zealand,2005,0.0,0.03,0.09,0.11000000000000001,0.02,0.0,0.03,0.09,0.11,0.02,OECD DAC Creditor Reporting System (CRS)
New Zealand,2006,0.0,0.02,0.11,0.09000000000000001,0.03,0.0,0.02,0.11,0.09,0.03,OECD DAC Creditor Reporting System (CRS)
New Zealand,2007,0.0,0.02,0.12,0.12,0.03,0.0,0.02,0.12,0.12,0.03,OECD DAC Creditor Reporting System (CRS)
New Zealand,2008,0.0,0.03,0.14,0.14,0.03,0.0,0.03,0.14,0.14,0.03,OECD DAC Creditor Reporting System (CRS)
New Zealand,2009,0.0,0.02,0.13,0.11,0.02,0.0,0.02,0.13,0.11,0.02,OECD DAC Creditor Reporting System (CRS)
New Zealand,2010,0.0,0.02,0.14,0.14,0.03,0.0,0.02,0.14,0.14,0.03,OECD DAC Creditor Reporting System (CRS)
New Zealand,2011,0.0,0.03,0.18,0.16999999999999998,0.03,0.0,0.03,0.18,0.17,0.03,OECD DAC Creditor Reporting System (CRS)
New Zealand,2012,0.0,0.04,0.17,0.17,0.04,0.0,0.04,0.17,0.17,0.04,OECD DAC Creditor Reporting System (CRS)
New Zealand,2013,0.0,0.03,0.19,0.19,0.03,0.0,0.03,0.19,0.19,0.03,OECD DAC Creditor Reporting System (CRS)
New Zealand,2014,0.0,0.03,0.2,0.2,0.04,0.0,0.03,0.2,0.2,0.04,OECD DAC Creditor Reporting System (CRS)
New Zealand,2015,0.0,0.02,0.18,0.17,0.05,0.0,0.02,0.18,0.17,0.05,OECD DAC Creditor Reporting System (CRS)
New Zealand,2016,0.0,0.02,0.17,0.17,0.05,0.0,0.02,0.17,0.17,0.05,OECD DAC Creditor Reporting System (CRS)
New Zealand,2017,0.0,0.04,0.17,0.18,0.04,0.0,0.04,0.17,0.18,0.04,OECD DAC Creditor Reporting System (CRS)
New Zealand,2018,0.0,0.03,0.2,0.24000000000000002,0.05,0.0,0.03,0.2,0.24,0.05,OECD DAC Creditor Reporting System (CRS)
New Zealand,2019,0.0,0.03,0.19,0.24,0.05,0.0,0.03,0.19,0.24,0.05,OECD DAC Creditor Reporting System (CRS)
New Zealand,2020,0.0,0.03,0.2,0.2,0.05,0.0,0.03,0.2,0.2,0.05,OECD DAC Creditor Reporting System (CRS)
New Zealand,2021,0.0,0.04,0.22,0.27999999999999997,0.12,0.0,0.04,0.22,0.28,0.12,OECD DAC Creditor Reporting System (CRS)
Norway,2000,0.01,0.3,0.37,0.34,0.23,0.01,0.3,0.37,0.34,0.23,OECD DAC Creditor Reporting System (CRS)
Norway,2001,0.02,0.32,0.43,0.35,0.19,0.02,0.32,0.43,0.35,0.19,OECD DAC Creditor Reporting System (CRS)
Norway,2002,0.02,0.49,0.51,0.41,0.23,0.02,0.49,0.51,0.41,0.23,OECD DAC Creditor Reporting System (CRS)
Norway,2003,0.02,0.61,0.59,0.51,0.3,0.02,0.61,0.59,0.51,0.3,OECD DAC Creditor Reporting System (CRS)
Norway,2004,0.02,0.67,0.65,0.6,0.25,0.02,0.67,0.65,0.6,0.25,OECD DAC Creditor Reporting System (CRS)
Norway,2005,0.03,0.78,0.88,0.8,0.28,0.03,0.78,0.88,0.8,0.28,OECD DAC Creditor Reporting System (CRS)
Norway,2006,0.03,0.86,0.8,0.96,0.26,0.03,0.86,0.8,0.96,0.26,OECD DAC Creditor Reporting System (CRS)
Norway,2007,0.04,0.98,0.98,1.29,0.43,0.04,0.98,0.98,1.29,0.43,OECD DAC Creditor Reporting System (CRS)
Norway,2008,0.04,1.09,1.03,1.53,0.3,0.04,1.09,1.03,1.53,0.3,OECD DAC Creditor Reporting System (CRS)
Norway,2009,0.02,0.93,0.91,1.93,0.28,0.02,0.93,0.91,1.93,0.28,OECD DAC Creditor Reporting System (CRS)
Norway,2010,0.02,0.99,1.1,1.88,0.33,0.02,0.99,1.1,1.88,0.33,OECD DAC Creditor Reporting System (CRS)
Norway,2011,0.0,1.14,1.1,2.02,0.44,0.0,1.14,1.1,2.02,0.44,OECD DAC Creditor Reporting System (CRS)
Norway,2012,0.04,1.05,1.05,2.07,0.43,0.04,1.05,1.05,2.07,0.43,OECD DAC Creditor Reporting System (CRS)
Norway,2013,0.01,1.22,1.11,2.18,0.95,0.01,1.22,1.11,2.18,0.95,OECD DAC Creditor Reporting System (CRS)
Norway,2014,0.0,1.14,1.05,2.32,0.5,0.0,1.14,1.05,2.32,0.5,OECD DAC Creditor Reporting System (CRS)
Norway,2015,0.0,0.88,0.85,2.08,0.37,0.0,0.88,0.85,2.08,0.37,OECD DAC Creditor Reporting System (CRS)
Norway,2016,0.0,0.92,0.8,2.22,0.38,0.0,0.92,0.8,2.22,0.38,OECD DAC Creditor Reporting System (CRS)
Norway,2017,0.01,1.02,0.87,1.84,0.34,0.01,1.02,0.87,1.84,0.34,OECD DAC Creditor Reporting System (CRS)
Norway,2018,0.0,1.08,0.84,1.95,0.35,0.0,1.08,0.84,1.95,0.35,OECD DAC Creditor Reporting System (CRS)
Norway,2019,0.0,1.06,0.79,1.99,0.36,0.0,1.06,0.79,1.99,0.36,OECD DAC Creditor Reporting System (CRS)
Norway,2020,0.0,1.05,0.82,1.91,0.29,0.0,1.05,0.82,1.91,0.29,OECD DAC Creditor Reporting System (CRS)
Norway,2021,0.0,1.1,0.8,2.36,0.33,0.0,1.1,0.8,2.36,0.33,OECD DAC Creditor Reporting System (CRS)
Poland,2000,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,OECD DAC Creditor Reporting System (CRS)
Poland,2001,0.0,0.03,0.01,0.0,0.01,0.0,0.03,0.01,0.0,0.01,OECD DAC Creditor Reporting System (CRS)
Poland,2002,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,OECD DAC Creditor Reporting System (CRS)
Poland,2003,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.0,0.02,OECD DAC Creditor Reporting System (CRS)
Poland,2004,0.0,0.03,0.03,0.02,0.03,0.0,0.03,0.03,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
Poland,2005,0.0,0.04,0.06,0.03,0.06,0.0,0.04,0.06,0.03,0.06,OECD DAC Creditor Reporting System (CRS)
Poland,2006,0.0,0.05,0.17,0.03,0.05,0.0,0.05,0.17,0.03,0.05,OECD DAC Creditor Reporting System (CRS)
Poland,2007,0.0,0.05,0.12,0.04,0.14,0.0,0.05,0.12,0.04,0.14,OECD DAC Creditor Reporting System (CRS)
Poland,2008,0.0,0.08,0.12,0.06,0.1,0.0,0.08,0.12,0.06,0.1,OECD DAC Creditor Reporting System (CRS)
Poland,2009,0.0,0.07,0.1,0.07,0.13,0.0,0.07,0.1,0.07,0.13,OECD DAC Creditor Reporting System (CRS)
Poland,2010,0.0,0.08,0.1,0.06,0.12,0.0,0.08,0.1,0.06,0.12,OECD DAC Creditor Reporting System (CRS)
Poland,2011,0.0,0.07,0.1,0.07,0.18,0.0,0.07,0.1,0.07,0.18,OECD DAC Creditor Reporting System (CRS)
Poland,2012,0.0,0.07,0.11,0.07,0.18,0.0,0.07,0.11,0.07,0.18,OECD DAC Creditor Reporting System (CRS)
Poland,2013,0.0,0.07,0.16,0.08,0.16,0.0,0.07,0.16,0.08,0.16,OECD DAC Creditor Reporting System (CRS)
Poland,2014,0.0,0.1,0.14,0.07,0.14,0.0,0.1,0.14,0.07,0.14,OECD DAC Creditor Reporting System (CRS)
Poland,2015,0.0,0.1,0.15,0.07,0.12,0.0,0.1,0.15,0.07,0.12,OECD DAC Creditor Reporting System (CRS)
Poland,2016,0.0,0.14,0.2,0.09,0.17,0.0,0.14,0.2,0.09,0.17,OECD DAC Creditor Reporting System (CRS)
Poland,2017,0.0,0.1,0.19,0.17,0.19,0.0,0.1,0.19,0.17,0.19,OECD DAC Creditor Reporting System (CRS)
Poland,2018,0.0,0.1,0.33,0.14,0.18,0.0,0.1,0.33,0.14,0.18,OECD DAC Creditor Reporting System (CRS)
Poland,2019,0.0,0.1,0.29,0.15,0.18,0.0,0.1,0.29,0.15,0.18,OECD DAC Creditor Reporting System (CRS)
Poland,2020,0.0,0.09,0.3,0.15,0.23,0.0,0.09,0.3,0.15,0.23,OECD DAC Creditor Reporting System (CRS)
Poland,2021,0.0,0.11,0.39,0.18,0.26,0.0,0.11,0.39,0.18,0.26,OECD DAC Creditor Reporting System (CRS)
Portugal,2000,0.0,0.07,0.13,0.04,0.03,0.0,0.07,0.13,0.04,0.03,OECD DAC Creditor Reporting System (CRS)
Portugal,2001,0.0,0.06,0.14,0.03,0.03,0.0,0.06,0.14,0.03,0.03,OECD DAC Creditor Reporting System (CRS)
Portugal,2002,0.0,0.07,0.19,0.04,0.02,0.0,0.07,0.19,0.04,0.02,OECD DAC Creditor Reporting System (CRS)
Portugal,2003,0.0,0.08,0.16,0.04,0.03,0.0,0.08,0.16,0.04,0.03,OECD DAC Creditor Reporting System (CRS)
Portugal,2004,0.0,0.08,0.84,0.05,0.05,0.0,0.08,0.84,0.05,0.05,OECD DAC Creditor Reporting System (CRS)
Portugal,2005,0.0,0.09,0.17,0.06,0.05,0.0,0.09,0.17,0.06,0.05,OECD DAC Creditor Reporting System (CRS)
Portugal,2006,0.0,0.1,0.19,0.05,0.05,0.0,0.1,0.19,0.05,0.05,OECD DAC Creditor Reporting System (CRS)
Portugal,2007,0.0,0.11,0.21,0.08,0.07,0.0,0.11,0.21,0.08,0.07,OECD DAC Creditor Reporting System (CRS)
Portugal,2008,0.0,0.13,0.33,0.07,0.07,0.0,0.13,0.33,0.07,0.07,OECD DAC Creditor Reporting System (CRS)
Portugal,2009,0.0,0.15,0.2,0.09,0.07,0.0,0.15,0.2,0.09,0.07,OECD DAC Creditor Reporting System (CRS)
Portugal,2010,0.0,0.21,0.27,0.09,0.07,0.0,0.21,0.27,0.09,0.07,OECD DAC Creditor Reporting System (CRS)
Portugal,2011,0.0,0.28,0.27,0.06,0.09,0.0,0.28,0.27,0.06,0.09,OECD DAC Creditor Reporting System (CRS)
Portugal,2012,0.0,0.12,0.32,0.05,0.08,0.0,0.12,0.32,0.05,0.08,OECD DAC Creditor Reporting System (CRS)
Portugal,2013,0.0,0.11,0.23,0.06,0.08,0.0,0.11,0.23,0.06,0.08,OECD DAC Creditor Reporting System (CRS)
Portugal,2014,0.0,0.1,0.2,0.05,0.08,0.0,0.1,0.2,0.05,0.08,OECD DAC Creditor Reporting System (CRS)
Portugal,2015,0.0,0.07,0.13,0.05,0.06,0.0,0.07,0.13,0.05,0.06,OECD DAC Creditor Reporting System (CRS)
Portugal,2016,0.0,0.09,0.11,0.06,0.08,0.0,0.09,0.11,0.06,0.08,OECD DAC Creditor Reporting System (CRS)
Portugal,2017,0.0,0.11,0.12,0.07,0.07,0.0,0.11,0.12,0.07,0.07,OECD DAC Creditor Reporting System (CRS)
Portugal,2018,0.0,0.11,0.11,0.09,0.07,0.0,0.11,0.11,0.09,0.07,OECD DAC Creditor Reporting System (CRS)
Portugal,2019,0.0,0.11,0.1,0.09,0.06,0.0,0.11,0.1,0.09,0.06,OECD DAC Creditor Reporting System (CRS)
Portugal,2020,0.0,0.1,0.1,0.09,0.12,0.0,0.1,0.1,0.09,0.12,OECD DAC Creditor Reporting System (CRS)
Portugal,2021,0.0,0.1,0.15,0.1,0.09,0.0,0.1,0.15,0.1,0.09,OECD DAC Creditor Reporting System (CRS)
Slovakia,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Slovakia,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Slovakia,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Slovakia,2003,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Slovakia,2004,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,OECD DAC Creditor Reporting System (CRS)
Slovakia,2005,0.0,0.03,0.01,0.01,0.01,0.0,0.03,0.01,0.01,0.01,OECD DAC Creditor Reporting System (CRS)
Slovakia,2006,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.01,OECD DAC Creditor Reporting System (CRS)
Slovakia,2007,0.0,0.03,0.01,0.01,0.01,0.0,0.03,0.01,0.01,0.01,OECD DAC Creditor Reporting System (CRS)
Slovakia,2008,0.0,0.04,0.02,0.02,0.02,0.0,0.04,0.02,0.02,0.02,OECD DAC Creditor Reporting System (CRS)
Slovakia,2009,0.0,0.01,0.02,0.03,0.02,0.0,0.01,0.02,0.03,0.02,OECD DAC Creditor Reporting System (CRS)
Slovakia,2010,0.0,0.02,0.02,0.02,0.01,0.0,0.02,0.02,0.02,0.01,OECD DAC Creditor Reporting System (CRS)
Slovakia,2011,0.0,0.01,0.02,0.03,0.03,0.0,0.01,0.02,0.03,0.03,OECD DAC Creditor Reporting System (CRS)
Slovakia,2012,0.0,0.01,0.02,0.02,0.03,0.0,0.01,0.02,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
Slovakia,2013,0.0,0.02,0.03,0.02,0.03,0.0,0.02,0.03,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
Slovakia,2014,0.0,0.01,0.02,0.02,0.03,0.0,0.01,0.02,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
Slovakia,2015,0.0,0.01,0.03,0.02,0.03,0.0,0.01,0.03,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
Slovakia,2016,0.0,0.02,0.03,0.03,0.03,0.0,0.02,0.03,0.03,0.03,OECD DAC Creditor Reporting System (CRS)
Slovakia,2017,0.0,0.02,0.03,0.04,0.03,0.0,0.02,0.03,0.04,0.03,OECD DAC Creditor Reporting System (CRS)
Slovakia,2018,0.0,0.02,0.03,0.05,0.03,0.0,0.02,0.03,0.05,0.03,OECD DAC Creditor Reporting System (CRS)
Slovakia,2019,0.0,0.02,0.03,0.03,0.03,0.0,0.02,0.03,0.03,0.03,OECD DAC Creditor Reporting System (CRS)
Slovakia,2020,0.0,0.02,0.04,0.03,0.05,0.0,0.02,0.04,0.03,0.05,OECD DAC Creditor Reporting System (CRS)
Slovakia,2021,0.0,0.02,0.04,0.04,0.04,0.0,0.02,0.04,0.04,0.04,OECD DAC Creditor Reporting System (CRS)
Slovenia,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Slovenia,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Slovenia,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Slovenia,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Slovenia,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Slovenia,2005,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Slovenia,2006,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,OECD DAC Creditor Reporting System (CRS)
Slovenia,2007,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,OECD DAC Creditor Reporting System (CRS)
Slovenia,2008,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.02,OECD DAC Creditor Reporting System (CRS)
Slovenia,2009,0.0,0.01,0.02,0.02,0.02,0.0,0.01,0.02,0.02,0.02,OECD DAC Creditor Reporting System (CRS)
Slovenia,2010,0.0,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.02,0.01,OECD DAC Creditor Reporting System (CRS)
Slovenia,2011,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.02,OECD DAC Creditor Reporting System (CRS)
Slovenia,2012,0.0,0.01,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.02,OECD DAC Creditor Reporting System (CRS)
Slovenia,2013,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.02,OECD DAC Creditor Reporting System (CRS)
Slovenia,2014,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.02,OECD DAC Creditor Reporting System (CRS)
Slovenia,2015,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.02,OECD DAC Creditor Reporting System (CRS)
Slovenia,2016,0.0,0.01,0.02,0.02,0.03,0.0,0.01,0.02,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
Slovenia,2017,0.0,0.01,0.01,0.02,0.03,0.0,0.01,0.01,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
Slovenia,2018,0.0,0.01,0.02,0.02,0.03,0.0,0.01,0.02,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
Slovenia,2019,0.0,0.01,0.02,0.02,0.03,0.0,0.01,0.02,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
Slovenia,2020,0.0,0.01,0.02,0.02,0.04,0.0,0.01,0.02,0.02,0.04,OECD DAC Creditor Reporting System (CRS)
Slovenia,2021,0.0,0.01,0.03,0.02,0.04,0.0,0.01,0.03,0.02,0.04,OECD DAC Creditor Reporting System (CRS)
South Korea,2000,0.01,0.02,0.14,0.02,0.03,0.01,0.02,0.14,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
South Korea,2001,0.02,0.03,0.17,0.02,0.03,0.02,0.03,0.17,0.02,0.03,OECD DAC Creditor Reporting System (CRS)
South Korea,2002,0.02,0.03,0.16,0.02,0.06,0.02,0.03,0.16,0.02,0.06,OECD DAC Creditor Reporting System (CRS)
South Korea,2003,0.0,0.05,0.2,0.03,0.08,0.0,0.05,0.2,0.03,0.08,OECD DAC Creditor Reporting System (CRS)
South Korea,2004,0.0,0.05,0.22,0.03,0.13,0.0,0.05,0.22,0.03,0.13,OECD DAC Creditor Reporting System (CRS)
South Korea,2005,0.0,0.1,0.38,0.05,0.22,0.0,0.1,0.38,0.05,0.22,OECD DAC Creditor Reporting System (CRS)
South Korea,2006,0.0,0.03,0.25,0.07,0.13,0.0,0.03,0.25,0.07,0.13,OECD DAC Creditor Reporting System (CRS)
South Korea,2007,0.0,0.08,0.4,0.08,0.13,0.0,0.08,0.4,0.08,0.13,OECD DAC Creditor Reporting System (CRS)
South Korea,2008,0.0,0.07,0.45,0.13,0.13,0.0,0.07,0.45,0.13,0.13,OECD DAC Creditor Reporting System (CRS)
South Korea,2009,0.0,0.09,0.46,0.14,0.11,0.0,0.09,0.46,0.14,0.11,OECD DAC Creditor Reporting System (CRS)
South Korea,2010,0.0,0.2,0.68,0.15,0.13,0.0,0.2,0.68,0.15,0.13,OECD DAC Creditor Reporting System (CRS)
South Korea,2011,0.0,0.16,0.8,0.2,0.14,0.0,0.16,0.8,0.2,0.14,OECD DAC Creditor Reporting System (CRS)
South Korea,2012,0.0,0.26,0.94,0.25,0.14,0.0,0.26,0.94,0.25,0.14,OECD DAC Creditor Reporting System (CRS)
South Korea,2013,0.0,0.37,0.98,0.25,0.12,0.0,0.37,0.98,0.25,0.12,OECD DAC Creditor Reporting System (CRS)
South Korea,2014,0.0,0.34,1.03,0.29,0.17,0.0,0.34,1.03,0.29,0.17,OECD DAC Creditor Reporting System (CRS)
South Korea,2015,0.0,0.33,1.07,0.3,0.13,0.0,0.33,1.07,0.3,0.13,OECD DAC Creditor Reporting System (CRS)
South Korea,2016,0.0,0.39,1.06,0.36,0.16,0.0,0.39,1.06,0.36,0.16,OECD DAC Creditor Reporting System (CRS)
South Korea,2017,0.0,0.37,1.16,0.36,0.16,0.0,0.37,1.16,0.36,0.16,OECD DAC Creditor Reporting System (CRS)
South Korea,2018,0.0,0.42,1.38,0.38,0.21,0.0,0.42,1.38,0.38,0.21,OECD DAC Creditor Reporting System (CRS)
South Korea,2019,0.0,0.45,1.44,0.3,0.26,0.0,0.45,1.44,0.3,0.26,OECD DAC Creditor Reporting System (CRS)
South Korea,2020,0.01,0.36,1.24,0.32,0.24,0.01,0.36,1.24,0.32,0.24,OECD DAC Creditor Reporting System (CRS)
South Korea,2021,0.0,0.4,1.59,0.45,0.43,0.0,0.4,1.59,0.45,0.43,OECD DAC Creditor Reporting System (CRS)
Spain,2000,0.02,0.1,0.39,0.33999999999999997,0.33,0.02,0.1,0.39,0.34,0.33,OECD DAC Creditor Reporting System (CRS)
Spain,2001,0.02,0.16,0.92,0.26,0.37,0.02,0.16,0.92,0.26,0.37,OECD DAC Creditor Reporting System (CRS)
Spain,2002,0.02,0.23,0.57,0.37,0.42,0.02,0.23,0.57,0.37,0.42,OECD DAC Creditor Reporting System (CRS)
Spain,2003,0.02,0.28,0.66,0.44999999999999996,0.51,0.02,0.28,0.66,0.45,0.51,OECD DAC Creditor Reporting System (CRS)
Spain,2004,0.02,0.35,0.99,0.44,0.59,0.02,0.35,0.99,0.44,0.59,OECD DAC Creditor Reporting System (CRS)
Spain,2005,0.02,0.56,1.18,0.54,0.69,0.02,0.56,1.18,0.54,0.69,OECD DAC Creditor Reporting System (CRS)
Spain,2006,0.04,0.6,1.2,0.75,1.1,0.04,0.6,1.2,0.75,1.1,OECD DAC Creditor Reporting System (CRS)
Spain,2007,0.05,0.77,1.65,1.42,1.14,0.05,0.77,1.65,1.42,1.14,OECD DAC Creditor Reporting System (CRS)
Spain,2008,0.05,1.09,2.05,2.24,1.39,0.05,1.09,2.05,2.24,1.39,OECD DAC Creditor Reporting System (CRS)
Spain,2009,0.05,1.08,2.35,1.78,1.26,0.05,1.08,2.35,1.78,1.26,OECD DAC Creditor Reporting System (CRS)
Spain,2010,0.04,1.12,1.77,1.99,0.9,0.04,1.12,1.77,1.99,0.9,OECD DAC Creditor Reporting System (CRS)
Spain,2011,0.03,0.72,1.28,1.24,0.81,0.03,0.72,1.28,1.24,0.81,OECD DAC Creditor Reporting System (CRS)
Spain,2012,0.01,0.36,0.54,0.6,0.49,0.01,0.36,0.54,0.6,0.49,OECD DAC Creditor Reporting System (CRS)
Spain,2013,0.01,0.35,0.78,0.54,0.5,0.01,0.35,0.78,0.54,0.5,OECD DAC Creditor Reporting System (CRS)
Spain,2014,0.01,0.39,0.57,0.42,0.41,0.01,0.39,0.57,0.42,0.41,OECD DAC Creditor Reporting System (CRS)
Spain,2015,0.0,0.24,0.32,0.48,0.35,0.0,0.24,0.32,0.48,0.35,OECD DAC Creditor Reporting System (CRS)
Spain,2016,0.0,0.46,0.66,0.53,2.55,0.0,0.46,0.66,0.53,2.55,OECD DAC Creditor Reporting System (CRS)
Spain,2017,0.01,0.52,0.72,0.65,0.46,0.01,0.52,0.72,0.65,0.46,OECD DAC Creditor Reporting System (CRS)
Spain,2018,0.0,0.55,0.73,0.8,0.48,0.0,0.55,0.73,0.8,0.48,OECD DAC Creditor Reporting System (CRS)
Spain,2019,0.0,0.47,0.77,0.8200000000000001,0.51,0.0,0.47,0.77,0.82,0.51,OECD DAC Creditor Reporting System (CRS)
Spain,2020,0.01,0.45,0.83,0.76,0.57,0.01,0.45,0.83,0.76,0.57,OECD DAC Creditor Reporting System (CRS)
Spain,2021,0.0,0.57,0.91,1.08,0.63,0.0,0.57,0.91,1.08,0.63,OECD DAC Creditor Reporting System (CRS)
Sweden,2000,0.01,0.32,0.66,0.53,0.27,0.01,0.32,0.66,0.53,0.27,OECD DAC Creditor Reporting System (CRS)
Sweden,2001,0.02,0.3,0.53,0.57,0.24,0.02,0.3,0.53,0.57,0.24,OECD DAC Creditor Reporting System (CRS)
Sweden,2002,0.01,0.44,0.66,0.65,0.24,0.01,0.44,0.66,0.65,0.24,OECD DAC Creditor Reporting System (CRS)
Sweden,2003,0.01,0.63,0.61,0.84,0.28,0.01,0.63,0.61,0.84,0.28,OECD DAC Creditor Reporting System (CRS)
Sweden,2004,0.01,0.57,0.77,1.03,0.34,0.01,0.57,0.77,1.03,0.34,OECD DAC Creditor Reporting System (CRS)
