year,name,Africa,America,Asia,"Developing countries, unspecified",Europe,Oceania,note
2005,Iceland,9.6,0.47,7.56,8.22,0.42,0.08,"<b>Africa:</b> 9.6 million<br><b>America:</b> 0.5 million<br><b>Asia:</b> 7.6 million<br><b>Developing countries, unspecified:</b> 8.2 million<br><b>Europe:</b> 0.4 million<br><b>Oceania:</b> 0.1 million"
2005,Ireland,403.55,31.45,115.75,125.31,22.61,3.24,"<b>Africa:</b> 403.5 million<br><b>America:</b> 31.5 million<br><b>Asia:</b> 115.8 million<br><b>Developing countries, unspecified:</b> 125.3 million<br><b>Europe:</b> 22.6 million<br><b>Oceania:</b> 3.2 million"
2005,Italy,2290.54,342.75,1743.43,387.05,223.41,33.5,"<b>Africa:</b> 2,290.5 million<br><b>America:</b> 342.8 million<br><b>Asia:</b> 1,743.4 million<br><b>Developing countries, unspecified:</b> 387.1 million<br><b>Europe:</b> 223.4 million<br><b>Oceania:</b> 33.5 million"
2005,Japan,2168.69,568.93,8571.25,1423.79,179.98,133.26,"<b>Africa:</b> 2,168.7 million<br><b>America:</b> 568.9 million<br><b>Asia:</b> 8,571.2 million<br><b>Developing countries, unspecified:</b> 1,423.8 million<br><b>Europe:</b> 180.0 million<br><b>Oceania:</b> 133.3 million"
2005,Luxembourg,114.29,28.27,66.9,30.51,13.82,0.92,"<b>Africa:</b> 114.3 million<br><b>America:</b> 28.3 million<br><b>Asia:</b> 66.9 million<br><b>Developing countries, unspecified:</b> 30.5 million<br><b>Europe:</b> 13.8 million<br><b>Oceania:</b> 0.9 million"
2005,Netherlands,2075.17,372.26,1362.27,1040.95,216.77,24.56,"<b>Africa:</b> 2,075.2 million<br><b>America:</b> 372.3 million<br><b>Asia:</b> 1,362.3 million<br><b>Developing countries, unspecified:</b> 1,041.0 million<br><b>Europe:</b> 216.8 million<br><b>Oceania:</b> 24.6 million"
2005,New Zealand,29.15,6.77,96.34,18.96,0.9,104.35,"<b>Africa:</b> 29.1 million<br><b>America:</b> 6.8 million<br><b>Asia:</b> 96.3 million<br><b>Developing countries, unspecified:</b> 19.0 million<br><b>Europe:</b> 0.9 million<br><b>Oceania:</b> 104.4 million"
2005,Norway,1061.88,147.34,872.51,537.28,145.66,10.69,"<b>Africa:</b> 1,061.9 million<br><b>America:</b> 147.3 million<br><b>Asia:</b> 872.5 million<br><b>Developing countries, unspecified:</b> 537.3 million<br><b>Europe:</b> 145.7 million<br><b>Oceania:</b> 10.7 million"
2005,Poland,72.78,14.51,49.91,17.7,48.06,1.81,"<b>Africa:</b> 72.8 million<br><b>America:</b> 14.5 million<br><b>Asia:</b> 49.9 million<br><b>Developing countries, unspecified:</b> 17.7 million<br><b>Europe:</b> 48.1 million<br><b>Oceania:</b> 1.8 million"
2005,Portugal,193.99,16.21,90.01,38.09,34.38,1.85,"<b>Africa:</b> 194.0 million<br><b>America:</b> 16.2 million<br><b>Asia:</b> 90.0 million<br><b>Developing countries, unspecified:</b> 38.1 million<br><b>Europe:</b> 34.4 million<br><b>Oceania:</b> 1.9 million"
2005,Slovakia,29.87,2.18,13.5,2.68,8.33,0.27,"<b>Africa:</b> 29.9 million<br><b>America:</b> 2.2 million<br><b>Asia:</b> 13.5 million<br><b>Developing countries, unspecified:</b> 2.7 million<br><b>Europe:</b> 8.3 million<br><b>Oceania:</b> 0.3 million"
2005,Slovenia,0.0,0.0,0.0,14.23,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 14.2 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2005,South Korea,123.38,110.23,471.15,33.57,7.95,3.1,"<b>Africa:</b> 123.4 million<br><b>America:</b> 110.2 million<br><b>Asia:</b> 471.1 million<br><b>Developing countries, unspecified:</b> 33.6 million<br><b>Europe:</b> 7.9 million<br><b>Oceania:</b> 3.1 million"
2005,Spain,1153.56,682.55,662.26,321.27,153.23,11.54,"<b>Africa:</b> 1,153.6 million<br><b>America:</b> 682.5 million<br><b>Asia:</b> 662.3 million<br><b>Developing countries, unspecified:</b> 321.3 million<br><b>Europe:</b> 153.2 million<br><b>Oceania:</b> 11.5 million"
2005,Sweden,1316.88,242.4,763.97,814.81,200.11,13.04,"<b>Africa:</b> 1,316.9 million<br><b>America:</b> 242.4 million<br><b>Asia:</b> 764.0 million<br><b>Developing countries, unspecified:</b> 814.8 million<br><b>Europe:</b> 200.1 million<br><b>Oceania:</b> 13.0 million"
2005,Switzerland,481.66,137.81,540.13,446.12,135.17,3.55,"<b>Africa:</b> 481.7 million<br><b>America:</b> 137.8 million<br><b>Asia:</b> 540.1 million<br><b>Developing countries, unspecified:</b> 446.1 million<br><b>Europe:</b> 135.2 million<br><b>Oceania:</b> 3.5 million"
2005,United Kingdom,4975.36,337.59,3629.68,1453.01,323.96,42.41,"<b>Africa:</b> 4,975.4 million<br><b>America:</b> 337.6 million<br><b>Asia:</b> 3,629.7 million<br><b>Developing countries, unspecified:</b> 1,453.0 million<br><b>Europe:</b> 324.0 million<br><b>Oceania:</b> 42.4 million"
2005,United States,5456.78,1776.02,15828.17,3851.94,692.83,201.93,"<b>Africa:</b> 5,456.8 million<br><b>America:</b> 1,776.0 million<br><b>Asia:</b> 15,828.2 million<br><b>Developing countries, unspecified:</b> 3,851.9 million<br><b>Europe:</b> 692.8 million<br><b>Oceania:</b> 201.9 million"
2006,Australia,229.19,27.26,1021.76,276.11,4.78,552.15,"<b>Africa:</b> 229.2 million<br><b>America:</b> 27.3 million<br><b>Asia:</b> 1,021.8 million<br><b>Developing countries, unspecified:</b> 276.1 million<br><b>Europe:</b> 4.8 million<br><b>Oceania:</b> 552.1 million"
2006,Austria,774.98,58.07,360.0,122.52,175.85,3.31,"<b>Africa:</b> 775.0 million<br><b>America:</b> 58.1 million<br><b>Asia:</b> 360.0 million<br><b>Developing countries, unspecified:</b> 122.5 million<br><b>Europe:</b> 175.8 million<br><b>Oceania:</b> 3.3 million"
2006,Belgium,1161.04,139.98,229.03,337.72,91.8,4.19,"<b>Africa:</b> 1,161.0 million<br><b>America:</b> 140.0 million<br><b>Asia:</b> 229.0 million<br><b>Developing countries, unspecified:</b> 337.7 million<br><b>Europe:</b> 91.8 million<br><b>Oceania:</b> 4.2 million"
2006,Canada,1650.29,491.69,961.22,351.34,123.73,7.55,"<b>Africa:</b> 1,650.3 million<br><b>America:</b> 491.7 million<br><b>Asia:</b> 961.2 million<br><b>Developing countries, unspecified:</b> 351.3 million<br><b>Europe:</b> 123.7 million<br><b>Oceania:</b> 7.5 million"
2006,Czech Republic,43.96,21.14,52.46,13.48,28.87,0.64,"<b>Africa:</b> 44.0 million<br><b>America:</b> 21.1 million<br><b>Asia:</b> 52.5 million<br><b>Developing countries, unspecified:</b> 13.5 million<br><b>Europe:</b> 28.9 million<br><b>Oceania:</b> 0.6 million"
2006,Denmark,1099.1,146.01,517.33,329.41,69.57,5.29,"<b>Africa:</b> 1,099.1 million<br><b>America:</b> 146.0 million<br><b>Asia:</b> 517.3 million<br><b>Developing countries, unspecified:</b> 329.4 million<br><b>Europe:</b> 69.6 million<br><b>Oceania:</b> 5.3 million"
2006,EU Institutions,4447.35,861.4,2481.33,1030.02,1346.16,78.87,"<b>Africa:</b> 4,447.4 million<br><b>America:</b> 861.4 million<br><b>Asia:</b> 2,481.3 million<br><b>Developing countries, unspecified:</b> 1,030.0 million<br><b>Europe:</b> 1,346.2 million<br><b>Oceania:</b> 78.9 million"
2006,Finland,359.85,68.52,205.71,135.26,46.17,2.92,"<b>Africa:</b> 359.9 million<br><b>America:</b> 68.5 million<br><b>Asia:</b> 205.7 million<br><b>Developing countries, unspecified:</b> 135.3 million<br><b>Europe:</b> 46.2 million<br><b>Oceania:</b> 2.9 million"
2006,France,6926.44,609.84,2220.17,751.37,596.73,132.24,"<b>Africa:</b> 6,926.4 million<br><b>America:</b> 609.8 million<br><b>Asia:</b> 2,220.2 million<br><b>Developing countries, unspecified:</b> 751.4 million<br><b>Europe:</b> 596.7 million<br><b>Oceania:</b> 132.2 million"
2006,Germany,5256.83,734.01,2513.68,1120.87,757.56,21.96,"<b>Africa:</b> 5,256.8 million<br><b>America:</b> 734.0 million<br><b>Asia:</b> 2,513.7 million<br><b>Developing countries, unspecified:</b> 1,120.9 million<br><b>Europe:</b> 757.6 million<br><b>Oceania:</b> 22.0 million"
2006,Greece,129.71,24.31,90.86,65.17,106.31,1.68,"<b>Africa:</b> 129.7 million<br><b>America:</b> 24.3 million<br><b>Asia:</b> 90.9 million<br><b>Developing countries, unspecified:</b> 65.2 million<br><b>Europe:</b> 106.3 million<br><b>Oceania:</b> 1.7 million"
2006,Hungary,28.63,5.68,82.97,19.15,12.49,0.55,"<b>Africa:</b> 28.6 million<br><b>America:</b> 5.7 million<br><b>Asia:</b> 83.0 million<br><b>Developing countries, unspecified:</b> 19.1 million<br><b>Europe:</b> 12.5 million<br><b>Oceania:</b> 0.6 million"
2006,Iceland,17.49,2.2,9.32,11.15,0.58,0.04,"<b>Africa:</b> 17.5 million<br><b>America:</b> 2.2 million<br><b>Asia:</b> 9.3 million<br><b>Developing countries, unspecified:</b> 11.2 million<br><b>Europe:</b> 0.6 million<br><b>Oceania:</b> 0.0 million"
2006,Ireland,580.52,52.55,151.42,196.26,28.7,2.59,"<b>Africa:</b> 580.5 million<br><b>America:</b> 52.6 million<br><b>Asia:</b> 151.4 million<br><b>Developing countries, unspecified:</b> 196.3 million<br><b>Europe:</b> 28.7 million<br><b>Oceania:</b> 2.6 million"
2006,Italy,1803.22,216.28,897.85,223.88,400.57,36.51,"<b>Africa:</b> 1,803.2 million<br><b>America:</b> 216.3 million<br><b>Asia:</b> 897.8 million<br><b>Developing countries, unspecified:</b> 223.9 million<br><b>Europe:</b> 400.6 million<br><b>Oceania:</b> 36.5 million"
2006,Japan,5074.82,777.27,3666.28,1277.37,161.24,90.27,"<b>Africa:</b> 5,074.8 million<br><b>America:</b> 777.3 million<br><b>Asia:</b> 3,666.3 million<br><b>Developing countries, unspecified:</b> 1,277.4 million<br><b>Europe:</b> 161.2 million<br><b>Oceania:</b> 90.3 million"
2006,Luxembourg,139.16,34.98,63.29,33.86,18.71,0.72,"<b>Africa:</b> 139.2 million<br><b>America:</b> 35.0 million<br><b>Asia:</b> 63.3 million<br><b>Developing countries, unspecified:</b> 33.9 million<br><b>Europe:</b> 18.7 million<br><b>Oceania:</b> 0.7 million"
2006,Netherlands,1881.29,268.31,802.5,2304.48,157.12,8.65,"<b>Africa:</b> 1,881.3 million<br><b>America:</b> 268.3 million<br><b>Asia:</b> 802.5 million<br><b>Developing countries, unspecified:</b> 2,304.5 million<br><b>Europe:</b> 157.1 million<br><b>Oceania:</b> 8.7 million"
2006,New Zealand,25.42,8.49,62.05,31.42,1.27,113.68,"<b>Africa:</b> 25.4 million<br><b>America:</b> 8.5 million<br><b>Asia:</b> 62.1 million<br><b>Developing countries, unspecified:</b> 31.4 million<br><b>Europe:</b> 1.3 million<br><b>Oceania:</b> 113.7 million"
2006,Norway,1175.02,162.24,696.26,738.6,146.3,5.67,"<b>Africa:</b> 1,175.0 million<br><b>America:</b> 162.2 million<br><b>Asia:</b> 696.3 million<br><b>Developing countries, unspecified:</b> 738.6 million<br><b>Europe:</b> 146.3 million<br><b>Oceania:</b> 5.7 million"
2006,Poland,172.88,15.79,53.01,18.61,37.49,1.4,"<b>Africa:</b> 172.9 million<br><b>America:</b> 15.8 million<br><b>Asia:</b> 53.0 million<br><b>Developing countries, unspecified:</b> 18.6 million<br><b>Europe:</b> 37.5 million<br><b>Oceania:</b> 1.4 million"
2006,Portugal,215.66,16.08,96.02,32.45,31.43,1.37,"<b>Africa:</b> 215.7 million<br><b>America:</b> 16.1 million<br><b>Asia:</b> 96.0 million<br><b>Developing countries, unspecified:</b> 32.5 million<br><b>Europe:</b> 31.4 million<br><b>Oceania:</b> 1.4 million"
2006,Slovakia,29.19,2.79,11.0,3.7,8.19,0.27,"<b>Africa:</b> 29.2 million<br><b>America:</b> 2.8 million<br><b>Asia:</b> 11.0 million<br><b>Developing countries, unspecified:</b> 3.7 million<br><b>Europe:</b> 8.2 million<br><b>Oceania:</b> 0.3 million"
2006,Slovenia,0.0,0.0,0.0,17.56,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 17.6 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2006,South Korea,74.13,31.48,279.61,54.39,34.25,2.5,"<b>Africa:</b> 74.1 million<br><b>America:</b> 31.5 million<br><b>Asia:</b> 279.6 million<br><b>Developing countries, unspecified:</b> 54.4 million<br><b>Europe:</b> 34.2 million<br><b>Oceania:</b> 2.5 million"
2006,Spain,1262.42,937.67,725.6,465.41,282.14,11.32,"<b>Africa:</b> 1,262.4 million<br><b>America:</b> 937.7 million<br><b>Asia:</b> 725.6 million<br><b>Developing countries, unspecified:</b> 465.4 million<br><b>Europe:</b> 282.1 million<br><b>Oceania:</b> 11.3 million"
2006,Sweden,1372.12,286.96,998.48,1040.11,225.29,7.11,"<b>Africa:</b> 1,372.1 million<br><b>America:</b> 287.0 million<br><b>Asia:</b> 998.5 million<br><b>Developing countries, unspecified:</b> 1,040.1 million<br><b>Europe:</b> 225.3 million<br><b>Oceania:</b> 7.1 million"
2006,Switzerland,543.13,132.4,321.72,446.35,173.85,1.64,"<b>Africa:</b> 543.1 million<br><b>America:</b> 132.4 million<br><b>Asia:</b> 321.7 million<br><b>Developing countries, unspecified:</b> 446.4 million<br><b>Europe:</b> 173.8 million<br><b>Oceania:</b> 1.6 million"
2006,United Kingdom,7498.79,368.11,2465.26,1630.82,463.78,26.03,"<b>Africa:</b> 7,498.8 million<br><b>America:</b> 368.1 million<br><b>Asia:</b> 2,465.3 million<br><b>Developing countries, unspecified:</b> 1,630.8 million<br><b>Europe:</b> 463.8 million<br><b>Oceania:</b> 26.0 million"
2006,United States,7121.76,2163.37,9279.78,3882.28,763.86,198.76,"<b>Africa:</b> 7,121.8 million<br><b>America:</b> 2,163.4 million<br><b>Asia:</b> 9,279.8 million<br><b>Developing countries, unspecified:</b> 3,882.3 million<br><b>Europe:</b> 763.9 million<br><b>Oceania:</b> 198.8 million"
2007,Australia,216.53,15.53,1352.05,379.63,8.36,652.05,"<b>Africa:</b> 216.5 million<br><b>America:</b> 15.5 million<br><b>Asia:</b> 1,352.1 million<br><b>Developing countries, unspecified:</b> 379.6 million<br><b>Europe:</b> 8.4 million<br><b>Oceania:</b> 652.0 million"
2007,Austria,658.01,61.06,745.87,160.16,176.58,3.46,"<b>Africa:</b> 658.0 million<br><b>America:</b> 61.1 million<br><b>Asia:</b> 745.9 million<br><b>Developing countries, unspecified:</b> 160.2 million<br><b>Europe:</b> 176.6 million<br><b>Oceania:</b> 3.5 million"
2007,Belgium,1010.57,137.93,254.49,470.13,59.77,4.07,"<b>Africa:</b> 1,010.6 million<br><b>America:</b> 137.9 million<br><b>Asia:</b> 254.5 million<br><b>Developing countries, unspecified:</b> 470.1 million<br><b>Europe:</b> 59.8 million<br><b>Oceania:</b> 4.1 million"
2007,Canada,1580.27,562.71,1418.91,327.15,82.64,11.76,"<b>Africa:</b> 1,580.3 million<br><b>America:</b> 562.7 million<br><b>Asia:</b> 1,418.9 million<br><b>Developing countries, unspecified:</b> 327.1 million<br><b>Europe:</b> 82.6 million<br><b>Oceania:</b> 11.8 million"
2007,Czech Republic,49.61,11.82,49.85,30.63,32.36,0.64,"<b>Africa:</b> 49.6 million<br><b>America:</b> 11.8 million<br><b>Asia:</b> 49.9 million<br><b>Developing countries, unspecified:</b> 30.6 million<br><b>Europe:</b> 32.4 million<br><b>Oceania:</b> 0.6 million"
2007,Denmark,1294.19,162.0,583.79,370.63,73.16,5.94,"<b>Africa:</b> 1,294.2 million<br><b>America:</b> 162.0 million<br><b>Asia:</b> 583.8 million<br><b>Developing countries, unspecified:</b> 370.6 million<br><b>Europe:</b> 73.2 million<br><b>Oceania:</b> 5.9 million"
2007,EU Institutions,5280.32,1080.56,2381.52,1308.98,1471.88,72.47,"<b>Africa:</b> 5,280.3 million<br><b>America:</b> 1,080.6 million<br><b>Asia:</b> 2,381.5 million<br><b>Developing countries, unspecified:</b> 1,309.0 million<br><b>Europe:</b> 1,471.9 million<br><b>Oceania:</b> 72.5 million"
2007,Finland,413.96,72.33,242.33,195.89,44.55,2.71,"<b>Africa:</b> 414.0 million<br><b>America:</b> 72.3 million<br><b>Asia:</b> 242.3 million<br><b>Developing countries, unspecified:</b> 195.9 million<br><b>Europe:</b> 44.5 million<br><b>Oceania:</b> 2.7 million"
2007,France,5449.5,643.21,2395.69,795.26,570.37,154.32,"<b>Africa:</b> 5,449.5 million<br><b>America:</b> 643.2 million<br><b>Asia:</b> 2,395.7 million<br><b>Developing countries, unspecified:</b> 795.3 million<br><b>Europe:</b> 570.4 million<br><b>Oceania:</b> 154.3 million"
2007,Germany,4504.09,789.37,4976.32,1330.59,645.21,20.8,"<b>Africa:</b> 4,504.1 million<br><b>America:</b> 789.4 million<br><b>Asia:</b> 4,976.3 million<br><b>Developing countries, unspecified:</b> 1,330.6 million<br><b>Europe:</b> 645.2 million<br><b>Oceania:</b> 20.8 million"
2007,Greece,139.78,27.08,106.26,90.93,126.8,2.18,"<b>Africa:</b> 139.8 million<br><b>America:</b> 27.1 million<br><b>Asia:</b> 106.3 million<br><b>Developing countries, unspecified:</b> 90.9 million<br><b>Europe:</b> 126.8 million<br><b>Oceania:</b> 2.2 million"
2007,Hungary,50.61,6.25,24.63,7.38,13.8,0.42,"<b>Africa:</b> 50.6 million<br><b>America:</b> 6.2 million<br><b>Asia:</b> 24.6 million<br><b>Developing countries, unspecified:</b> 7.4 million<br><b>Europe:</b> 13.8 million<br><b>Oceania:</b> 0.4 million"
2007,Iceland,16.64,1.58,12.85,15.56,1.0,0.06,"<b>Africa:</b> 16.6 million<br><b>America:</b> 1.6 million<br><b>Asia:</b> 12.8 million<br><b>Developing countries, unspecified:</b> 15.6 million<br><b>Europe:</b> 1.0 million<br><b>Oceania:</b> 0.1 million"
2007,Ireland,657.67,52.3,189.72,243.05,30.56,2.64,"<b>Africa:</b> 657.7 million<br><b>America:</b> 52.3 million<br><b>Asia:</b> 189.7 million<br><b>Developing countries, unspecified:</b> 243.1 million<br><b>Europe:</b> 30.6 million<br><b>Oceania:</b> 2.6 million"
2007,Italy,1582.73,318.06,1298.47,388.63,291.98,19.15,"<b>Africa:</b> 1,582.7 million<br><b>America:</b> 318.1 million<br><b>Asia:</b> 1,298.5 million<br><b>Developing countries, unspecified:</b> 388.6 million<br><b>Europe:</b> 292.0 million<br><b>Oceania:</b> 19.2 million"
2007,Japan,2382.68,340.44,3070.19,1312.44,180.66,85.65,"<b>Africa:</b> 2,382.7 million<br><b>America:</b> 340.4 million<br><b>Asia:</b> 3,070.2 million<br><b>Developing countries, unspecified:</b> 1,312.4 million<br><b>Europe:</b> 180.7 million<br><b>Oceania:</b> 85.7 million"
2007,Luxembourg,176.05,44.23,88.84,40.99,22.15,1.1,"<b>Africa:</b> 176.1 million<br><b>America:</b> 44.2 million<br><b>Asia:</b> 88.8 million<br><b>Developing countries, unspecified:</b> 41.0 million<br><b>Europe:</b> 22.2 million<br><b>Oceania:</b> 1.1 million"
2007,Netherlands,2394.95,379.18,914.91,2318.71,168.34,10.84,"<b>Africa:</b> 2,394.9 million<br><b>America:</b> 379.2 million<br><b>Asia:</b> 914.9 million<br><b>Developing countries, unspecified:</b> 2,318.7 million<br><b>Europe:</b> 168.3 million<br><b>Oceania:</b> 10.8 million"
2007,New Zealand,29.84,8.17,80.54,48.39,1.93,133.66,"<b>Africa:</b> 29.8 million<br><b>America:</b> 8.2 million<br><b>Asia:</b> 80.5 million<br><b>Developing countries, unspecified:</b> 48.4 million<br><b>Europe:</b> 1.9 million<br><b>Oceania:</b> 133.7 million"
2007,Norway,1311.52,321.16,894.75,1048.72,136.37,6.73,"<b>Africa:</b> 1,311.5 million<br><b>America:</b> 321.2 million<br><b>Asia:</b> 894.8 million<br><b>Developing countries, unspecified:</b> 1,048.7 million<br><b>Europe:</b> 136.4 million<br><b>Oceania:</b> 6.7 million"
2007,Poland,98.38,50.77,120.02,24.2,66.97,1.37,"<b>Africa:</b> 98.4 million<br><b>America:</b> 50.8 million<br><b>Asia:</b> 120.0 million<br><b>Developing countries, unspecified:</b> 24.2 million<br><b>Europe:</b> 67.0 million<br><b>Oceania:</b> 1.4 million"
2007,Portugal,234.75,20.57,116.93,39.26,54.91,1.18,"<b>Africa:</b> 234.8 million<br><b>America:</b> 20.6 million<br><b>Asia:</b> 116.9 million<br><b>Developing countries, unspecified:</b> 39.3 million<br><b>Europe:</b> 54.9 million<br><b>Oceania:</b> 1.2 million"
2007,Slovakia,37.15,4.4,11.75,4.52,8.37,0.24,"<b>Africa:</b> 37.1 million<br><b>America:</b> 4.4 million<br><b>Asia:</b> 11.8 million<br><b>Developing countries, unspecified:</b> 4.5 million<br><b>Europe:</b> 8.4 million<br><b>Oceania:</b> 0.2 million"
2007,Slovenia,0.0,0.0,0.0,21.42,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 21.4 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2007,South Korea,148.07,61.89,389.82,57.37,21.56,5.09,"<b>Africa:</b> 148.1 million<br><b>America:</b> 61.9 million<br><b>Asia:</b> 389.8 million<br><b>Developing countries, unspecified:</b> 57.4 million<br><b>Europe:</b> 21.6 million<br><b>Oceania:</b> 5.1 million"
2007,Spain,1566.41,1320.13,846.71,1000.93,266.58,9.92,"<b>Africa:</b> 1,566.4 million<br><b>America:</b> 1,320.1 million<br><b>Asia:</b> 846.7 million<br><b>Developing countries, unspecified:</b> 1,000.9 million<br><b>Europe:</b> 266.6 million<br><b>Oceania:</b> 9.9 million"
2007,Sweden,1675.77,280.03,864.91,1232.74,241.94,8.4,"<b>Africa:</b> 1,675.8 million<br><b>America:</b> 280.0 million<br><b>Asia:</b> 864.9 million<br><b>Developing countries, unspecified:</b> 1,232.7 million<br><b>Europe:</b> 241.9 million<br><b>Oceania:</b> 8.4 million"
2007,Switzerland,514.74,131.2,385.62,505.11,113.72,2.15,"<b>Africa:</b> 514.7 million<br><b>America:</b> 131.2 million<br><b>Asia:</b> 385.6 million<br><b>Developing countries, unspecified:</b> 505.1 million<br><b>Europe:</b> 113.7 million<br><b>Oceania:</b> 2.1 million"
2007,United Kingdom,4478.54,-308.13,3113.04,2108.62,391.38,29.29,"<b>Africa:</b> 4,478.5 million<br><b>America:</b> -308.1 million<br><b>Asia:</b> 3,113.0 million<br><b>Developing countries, unspecified:</b> 2,108.6 million<br><b>Europe:</b> 391.4 million<br><b>Oceania:</b> 29.3 million"
2007,United States,6434.29,1545.29,8821.3,4188.78,460.86,188.4,"<b>Africa:</b> 6,434.3 million<br><b>America:</b> 1,545.3 million<br><b>Asia:</b> 8,821.3 million<br><b>Developing countries, unspecified:</b> 4,188.8 million<br><b>Europe:</b> 460.9 million<br><b>Oceania:</b> 188.4 million"
2008,Australia,192.88,14.16,1446.07,556.95,9.6,729.11,"<b>Africa:</b> 192.9 million<br><b>America:</b> 14.2 million<br><b>Asia:</b> 1,446.1 million<br><b>Developing countries, unspecified:</b> 556.9 million<br><b>Europe:</b> 9.6 million<br><b>Oceania:</b> 729.1 million"
2008,Austria,373.04,59.36,896.82,166.03,208.38,5.89,"<b>Africa:</b> 373.0 million<br><b>America:</b> 59.4 million<br><b>Asia:</b> 896.8 million<br><b>Developing countries, unspecified:</b> 166.0 million<br><b>Europe:</b> 208.4 million<br><b>Oceania:</b> 5.9 million"
2008,Belgium,1112.26,184.23,503.27,476.63,85.6,7.84,"<b>Africa:</b> 1,112.3 million<br><b>America:</b> 184.2 million<br><b>Asia:</b> 503.3 million<br><b>Developing countries, unspecified:</b> 476.6 million<br><b>Europe:</b> 85.6 million<br><b>Oceania:</b> 7.8 million"
2008,Canada,2002.9,612.02,1658.1,357.8,80.53,14.5,"<b>Africa:</b> 2,002.9 million<br><b>America:</b> 612.0 million<br><b>Asia:</b> 1,658.1 million<br><b>Developing countries, unspecified:</b> 357.8 million<br><b>Europe:</b> 80.5 million<br><b>Oceania:</b> 14.5 million"
2008,Czech Republic,66.24,14.81,96.37,26.96,39.79,1.54,"<b>Africa:</b> 66.2 million<br><b>America:</b> 14.8 million<br><b>Asia:</b> 96.4 million<br><b>Developing countries, unspecified:</b> 27.0 million<br><b>Europe:</b> 39.8 million<br><b>Oceania:</b> 1.5 million"
2008,Denmark,1333.94,158.49,655.42,469.56,91.07,14.29,"<b>Africa:</b> 1,333.9 million<br><b>America:</b> 158.5 million<br><b>Asia:</b> 655.4 million<br><b>Developing countries, unspecified:</b> 469.6 million<br><b>Europe:</b> 91.1 million<br><b>Oceania:</b> 14.3 million"
2008,EU Institutions,5839.93,1113.05,2798.08,1456.47,1794.86,95.29,"<b>Africa:</b> 5,839.9 million<br><b>America:</b> 1,113.0 million<br><b>Asia:</b> 2,798.1 million<br><b>Developing countries, unspecified:</b> 1,456.5 million<br><b>Europe:</b> 1,794.9 million<br><b>Oceania:</b> 95.3 million"
2008,Finland,479.53,81.34,268.23,237.91,65.13,6.16,"<b>Africa:</b> 479.5 million<br><b>America:</b> 81.3 million<br><b>Asia:</b> 268.2 million<br><b>Developing countries, unspecified:</b> 237.9 million<br><b>Europe:</b> 65.1 million<br><b>Oceania:</b> 6.2 million"
2008,France,5557.51,524.46,2507.36,1402.56,835.93,186.81,"<b>Africa:</b> 5,557.5 million<br><b>America:</b> 524.5 million<br><b>Asia:</b> 2,507.4 million<br><b>Developing countries, unspecified:</b> 1,402.6 million<br><b>Europe:</b> 835.9 million<br><b>Oceania:</b> 186.8 million"
2008,Germany,5063.17,1141.01,5319.19,1497.17,885.2,46.12,"<b>Africa:</b> 5,063.2 million<br><b>America:</b> 1,141.0 million<br><b>Asia:</b> 5,319.2 million<br><b>Developing countries, unspecified:</b> 1,497.2 million<br><b>Europe:</b> 885.2 million<br><b>Oceania:</b> 46.1 million"
2008,Greece,196.41,30.67,154.94,94.16,165.43,5.14,"<b>Africa:</b> 196.4 million<br><b>America:</b> 30.7 million<br><b>Asia:</b> 154.9 million<br><b>Developing countries, unspecified:</b> 94.2 million<br><b>Europe:</b> 165.4 million<br><b>Oceania:</b> 5.1 million"
2008,Hungary,39.66,7.56,25.27,11.54,20.73,1.13,"<b>Africa:</b> 39.7 million<br><b>America:</b> 7.6 million<br><b>Asia:</b> 25.3 million<br><b>Developing countries, unspecified:</b> 11.5 million<br><b>Europe:</b> 20.7 million<br><b>Oceania:</b> 1.1 million"
2008,Iceland,20.48,3.19,10.31,11.6,1.75,0.6,"<b>Africa:</b> 20.5 million<br><b>America:</b> 3.2 million<br><b>Asia:</b> 10.3 million<br><b>Developing countries, unspecified:</b> 11.6 million<br><b>Europe:</b> 1.8 million<br><b>Oceania:</b> 0.6 million"
2008,Ireland,781.48,50.51,221.09,218.46,36.54,4.86,"<b>Africa:</b> 781.5 million<br><b>America:</b> 50.5 million<br><b>Asia:</b> 221.1 million<br><b>Developing countries, unspecified:</b> 218.5 million<br><b>Europe:</b> 36.5 million<br><b>Oceania:</b> 4.9 million"
